"Class","Order","Family","Species","Stock","Year of first stock assessment","Initial year","Region","Habitat","Mean ex vessel price per kg","Maximum landings","Fishbase length","FMP","FMP.name"
"Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser medirostris","USWC-48 STURGEON, GREEN",,1981,"USWC-48","demersal",1.14,109.3,270,,
"Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser transmontanus","USWC-48 STURGEON, WHITE",,1981,"USWC-48","demersal",3.55,349.4,610,,
"Actinopterygii","Anguilliformes","Anguillidae","Anguilla rostrata","USEC-NE EEL, AMERICAN",,1960,"USEC-NE","demersal",4.33,1183.8,152,,
"Actinopterygii","Anguilliformes","Anguillidae","Anguilla rostrata","USEC-SE EEL, AMERICAN",,1960,"USEC-SE","demersal",1.75,586.1,152,,
"Actinopterygii","Anguilliformes","Congridae","Conger oceanicus","USEC-NE EEL, CONGER",,1960,"USEC-NE","demersal",0.69,107.6,230,,
"Actinopterygii","Anguilliformes","Congridae","Conger oceanicus","USEC-SE EEL, CONGER",,1984,"USEC-SE","demersal",0.89,6.1,230,,
"Actinopterygii","Beloniformes","Belonidae","Strongylura marina","USEC-NE NEEDLEFISH, ATLANTIC",,1963,"USEC-NE","reef",0.29,2.9,111,,
"Actinopterygii","Beloniformes","Belonidae","Tylosurus crocodilus","USEC-NE HOUNDFISH",,2007,"USEC-NE","reef",0.33,1.1,150,,
"Actinopterygii","Beloniformes","Hemiramphidae","Hemiramphus brasiliensis","USEC-SE BALLYHOO",,1960,"USEC-SE","reef",1.22,625.4,55,,
"Actinopterygii","Clupeiformes","Clupeidae","Brevoortia patronus","GoMex Gulf menhaden",1972,1960,"USEC-SE","pelagic",0.03,729919.6,35,0,
"Actinopterygii","Clupeiformes","Clupeidae","Brevoortia tyrannus","USEC Atlantic menhaden",1986,1960,"USEC-NE","pelagic",0.05,697362.1,50,0,
"Actinopterygii","Clupeiformes","Clupeidae","Clupea harengus","GeBank/GoMaine Atlantic herring",1968,1960,"USEC-NE","benthopelagic",0.03,89147.4,45,1,"Atlantic Herring"
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","Alaska Kodiak herring",1978,1960,"USWC-AK","pelagic",0.05,7335.9913980591,34,0,
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","Alaska Sitka herring",1976,1960,"USWC-AK","pelagic",0.04,26842.7068446579,34,0,
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","Alaska Togiak herring",1978,1960,"USWC-AK","pelagic",0.05,40831.201757283,34,0,
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","USWC-48 HERRING, PACIFIC",,1960,"USWC-48","pelagic",0.74,11784.4,34,,
"Actinopterygii","Clupeiformes","Clupeidae","Dorosoma cepedianum","USEC-NE SHAD, GIZZARD",,1960,"USEC-NE","pelagic",0.25,1389.7,57,,
"Actinopterygii","Clupeiformes","Clupeidae","Dorosoma cepedianum","USEC-SE SHAD, GIZZARD",,1960,"USEC-SE","pelagic",0.33,938.7,57,,
"Actinopterygii","Clupeiformes","Clupeidae","Opisthonema oglinum","USEC-NE HERRING, ATLANTIC THREAD",,1960,"USEC-NE","reef",0.03,2321.1,38,,
"Actinopterygii","Clupeiformes","Clupeidae","Opisthonema oglinum","USEC-SE HERRING, ATLANTIC THREAD",,1960,"USEC-SE","reef",0.12,10083,38,,
"Actinopterygii","Clupeiformes","Clupeidae","Sardinella aurita","USEC-SE SARDINE, SPANISH",,1960,"USEC-SE","reef",0.3,2921.8,30,,
"Actinopterygii","Clupeiformes","Clupeidae","Sardinops sagax","USWC Pacific sardine",1966,1960,"USWC-48","pelagic",0.05,324105,39.5,1,"Coastal Pelagic Species"
"Actinopterygii","Clupeiformes","Dussumieriidae","Etrumeus teres","USEC-SE HERRING, ROUND",,2001,"USEC-SE","pelagic",1.92,0.9,33,,
"Actinopterygii","Clupeiformes","Dussumieriidae","Etrumeus teres","USWC-48 HERRING, ROUND",,1992,"USWC-48","pelagic",0.21,78.3,33,,
