"stock","species","Year.of.first.stock.assessment","Region","Habitat"
"USSE black grouper","Mycteroperca bonaci","2010","USEC-SE","reef"
"USSE bonnethead shark","Sphyrna tiburo","2002","USEC-SE","reef"
"USSE finetooth shark","Carcharhinus isodon","2002","USEC-SE","demersal"
"USSE mutton snapper","Lutjanus analis","2008","USEC-SE","reef"
"USSE sAtl red drum","Sciaenops ocellatus","2009","USEC-SE","demersal"
"USSE yellowtail snapper","Ocyurus chrysurus","2003","USEC-SE","reef"
"USWC-48 ANCHOVY, NORTHERN","Engraulis mordax",,"USWC-48","pelagic"
"USWC-48 BASS, STRIPED","Morone saxatilis",,"USWC-48","demersal"
"USWC-48 BLACKSMITH","Chromis punctipinnis",,"USWC-48","reef"
"USWC-48 CLAM, BUTTER","Saxidomus giganteus",,"USWC-48","benthic"
"USWC-48 CLAM, CALIFORNIA JACKKNIFE","Ensis myrae",,"USWC-48","demersal"
"USWC-48 CLAM, MANILA","Corbicula manilensis",,"USWC-48","benthic"
"USWC-48 CLAM, PACIFIC LITTLENECK","Protothaca staminea",,"USWC-48","benthic"
"USWC-48 CLAM, PACIFIC RAZOR","Siliqua patula",,"USWC-48","benthic"
"USWC-48 CLAM, SOFTSHELL","Mya arenaria",,"USWC-48","benthic"
"USWC-48 CLAM, VARIABLE COQUINA","Donax variabilis",,"USWC-48","demersal"
"USWC-48 COCKLE, NUTTALL","Clinocardium nuttallii",,"USWC-48","benthic"
"USWC-48 CRAB, RED PA","Podophthalmus vigil",,"USWC-48","benthic"
"USWC-48 CRAB, RED ROCK","Cancer productus",,"USWC-48","benthic"
"USWC-48 CRAB, SOUTHERN TANNER","Chionoecetes bairdi",,"USWC-48","benthic"
"USWC-48 CROAKER, PACIFIC WHITE","Genyonemus lineatus",,"USWC-48","benthopelagic"
"USWC-48 DOLPHINFISH","Coryphaena hippurus",,"USWC-48","pelagic"
"USWC-48 GREENLING, KELP","Hexagrammos decagrammus",,"USWC-48","demersal"
"USWC-48 HALFMOON","Medialuna californiensis",,"USWC-48","demersal"
"USWC-48 HALIBUT, CALIFORNIA","Paralichthys californicus",,"USWC-48","demersal"
"USWC-48 HALIBUT, PACIFIC","Hippoglossus stenolepis",,"USWC-48","demersal"
"USWC-48 HERRING, PACIFIC","Clupea pallasii",,"USWC-48","pelagic"
"USWC-48 HERRING, ROUND","Etrumeus teres",,"USWC-48","pelagic"
"USWC-48 JACK MACKEREL","Trachurus symmetricus",,"USWC-48","pelagic"
"USWC-48 LAMPREY, PACIFIC","Lampetra tridentata",,"USWC-48","demersal"
"USWC-48 LAMPREY, SEA","Petromyzon marinus",,"USWC-48","demersal"
"USWC-48 LAUNCE, AMERICAN SAND","Ammodytes americanus",,"USWC-48","demersal"
"USWC-48 MUDSUCKER, LONGJAW","Gillichthys mirabilis",,"USWC-48","demersal"
"USWC-48 MULLET, STRIPED (LIZA)","Mugil cephalus",,"USWC-48","benthopelagic"
"USWC-48 MUSSEL, BLUE","Mytilus edulis",,"USWC-48","reef"
"USWC-48 MUSSEL, CALIFORNIA","Mytilus californianus",,"USWC-48","reef"
"USWC-48 OPAH","Lampris guttatus",,"USWC-48","bathy-"
"USWC-48 OPALEYE","Girella nigricans",,"USWC-48","benthopelagic"
"USWC-48 OYSTER, EASTERN","Crassostrea virginica",,"USWC-48","reef"
"USWC-48 OYSTER, EUROPEAN FLAT","Ostrea edulis",,"USWC-48","reef"
"USWC-48 OYSTER, KUMAMOTO","Crassostrea gigas kumamoto",,"USWC-48","benthic"
"USWC-48 OYSTER, OLYMPIA","Ostrea lurida",,"USWC-48","benthic"
"USWC-48 OYSTER, PACIFIC","Crassostrea gigas",,"USWC-48","reef"
"USWC-48 PACIFIC SIERRA","Scomberomorus sierra",,"USWC-48","pelagic"
"USWC-48 POLLOCK, WALLEYE","Theragra chalcogramma",,"USWC-48","benthopelagic"
"USWC-48 POMPANO, FLORIDA","Trachinotus carolinus",,"USWC-48","benthopelagic"
"USWC-48 POMPANO, PACIFIC","Peprilus simillimus",,"USWC-48","benthopelagic"
"USWC-48 PRICKLEBACK, MONKEYFACE","Cebidichthys violaceus",,"USWC-48","demersal"
"USWC-48 QUEENFISH","Seriphus politus",,"USWC-48","demersal"
"USWC-48 RATFISH SPOTTED","Hydrolagus colliei",,"USWC-48","demersal"
"USWC-48 ROCKFISH, BANK","Sebastes rufus",,"USWC-48","demersal"
"USWC-48 ROCKFISH, BLACK-AND-YELLOW","Sebastes chrysomelas",,"USWC-48","demersal"
"USWC-48 ROCKFISH, BLUE","Sebastes mystinus",,"USWC-48","reef"
"USWC-48 ROCKFISH, BRONZESPOTTED","Sebastes gilli",,"USWC-48","demersal"
"USWC-48 ROCKFISH, CHINA","Sebastes nebulosus",,"USWC-48","reef"
"USWC-48 ROCKFISH, FLAG","Sebastes rubrivinctus",,"USWC-48","demersal"
"USWC-48 ROCKFISH, GRASS","Sebastes rastrelliger",,"USWC-48","demersal"
"USWC-48 ROCKFISH, GREENBLOTCHED","Sebastes rosenblatti",,"USWC-48","demersal"
"USWC-48 ROCKFISH, KELP","Sebastes atrovirens",,"USWC-48","demersal"
"USWC-48 ROCKFISH, OLIVE","Sebastes serranoides",,"USWC-48","reef"
"USWC-48 ROCKFISH, PINKROSE","Sebastes simulator",,"USWC-48","demersal"
"USWC-48 ROCKFISH, REDBANDED","Sebastes babcocki",,"USWC-48","demersal"
"USWC-48 ROCKFISH, ROSY","Sebastes rosaceus",,"USWC-48","demersal"
"USWC-48 ROCKFISH, SHORTBELLY","Sebastes jordani",,"USWC-48","demersal"
"USWC-48 ROCKFISH, SPECKLED","Sebastes ovalis",,"USWC-48","demersal"
"USWC-48 ROCKFISH, SQUARESPOT","Sebastes hopkinsi",,"USWC-48","reef"
"USWC-48 ROCKFISH, STARRY","Sebastes constellatus",,"USWC-48","reef"
"USWC-48 ROCKFISH, SWORDSPINE","Sebastes ensifer",,"USWC-48","demersal"
"USWC-48 ROCKFISH, TREEFISH","Sebastes serriceps",,"USWC-48","demersal"
"USWC-48 ROCKFISH, VERMILION","Sebastes miniatus",,"USWC-48","reef"
"USWC-48 SACRAMENTO BLACKFISH","Orthodon microlepidotus",,"USWC-48","benthopelagic"
"USWC-48 SAND PERCH","Diplectrum formosum",,"USWC-48","reef"
"USWC-48 SEA BASS, GIANT","Stereolepis gigas",,"USWC-48","demersal"
"USWC-48 SHARK, BIGEYE THRESHER","Alopias superciliosus",,"USWC-48","pelagic"
"USWC-48 SHARK, LEOPARD","Triakis semifasciata",,"USWC-48","demersal"
"USWC-48 SHARK, PACIFIC ANGEL","Squatina californica",,"USWC-48","demersal"
"USWC-48 SHARK, SOUPFIN","Galeorhinus zyopterus",,"USWC-48","benthopelagic"
"USWC-48 SHARK, WHITE","Carcharodon carcharias",,"USWC-48","pelagic"
"USWC-48 SHRIMP, BLUE MUD","Upogebia pugettensis",,"USWC-48","demersal"
"USWC-48 SHRIMP, BRINE","Artemia salina",,"USWC-48","pelagic"
"USWC-48 SHRIMP, OCEAN","Pandalus jordani",,"USWC-48","benthic"
"USWC-48 SHRIMP, PACIFIC ROCK","Sicyonia ingentis",,"USWC-48","demersal"
"USWC-48 SHRIMP, SPOT","Pandalus platyceros",,"USWC-48","benthic"
"USWC-48 SKATE, BIG","Raja binoculata",,"USWC-48","demersal"
"USWC-48 SKATE, CALIFORNIA","Raja inornata",,"USWC-48","demersal"
"USWC-48 SMELT, EULACHON","Thaleichthys pacificus",,"USWC-48","pelagic"
"USWC-48 SMELT, WHITEBAIT","Allosmerus elongatus",,"USWC-48","demersal"
"USWC-48 SOLE, BUTTER","Isopsetta isolepis",,"USWC-48","demersal"
"USWC-48 SOLE, C-O","Pleuronichthys coenosus",,"USWC-48","demersal"
"USWC-48 SOLE, CURLFIN","Pleuronichthys decurrens",,"USWC-48","demersal"
"USWC-48 SOLE, DEEPSEA","Microstomus bathybius",,"USWC-48","bathy-"
"USWC-48 SOLE, FANTAIL","Xystreurys liolepis",,"USWC-48","demersal"
"USWC-48 SOLE, FLATHEAD","Hippoglossoides elassodon",,"USWC-48","demersal"
"USWC-48 SOLE, ROCK","Paraplagusia bilineata",,"USWC-48","demersal"
"USWC-48 SOLE, SAND","Psettichthys melanostictus",,"USWC-48","demersal"
"USWC-48 SPLITTAIL","Pogonichthys macrolepidotus",,"USWC-48","benthopelagic"
"USWC-48 SPOTTED CABRILLA","Epinephelus analogus",,"USWC-48","reef"
"USWC-48 STURGEON, GREEN","Acipenser medirostris",,"USWC-48","demersal"
"USWC-48 STURGEON, WHITE","Acipenser transmontanus",,"USWC-48","demersal"
"USWC-48 TOMCOD, PACIFIC","Microgadus proximus",,"USWC-48","demersal"
"USWC-48 TURBOT, HORNYHEAD","Pleuronichthys verticalis",,"USWC-48","demersal"
"USWC-48 WAHOO","Acanthocybium solandri",,"USWC-48","pelagic"
"USWC-48 WHITEFISH, OCEAN","Caulolatilus princeps",,"USWC-48","reef"
"USWC-48 WOLF-EEL","Anarrhichthys ocellatus",,"USWC-48","demersal"
"USWC-48 YELLOWTAIL JACK","Seriola lalandi",,"USWC-48","benthopelagic"
"USWC-AK CAPELIN","Mallotus villosus",,"USWC-AK","pelagic"
"USWC-AK CLAM, ATLANTIC JACKKNIFE","Ensis directus",,"USWC-AK","benthic"
"USWC-AK CLAM, BUTTER","Saxidomus giganteus",,"USWC-AK","benthic"
"USWC-AK CLAM, PACIFIC LITTLENECK","Protothaca staminea",,"USWC-AK","benthic"
"USWC-AK CLAM, PACIFIC RAZOR","Siliqua patula",,"USWC-AK","benthic"
"USWC-AK COCKLE, NUTTALL","Clinocardium nuttallii",,"USWC-AK","benthic"
"USWC-AK CRAB, BLUE","Callinectes sapidus",,"USWC-AK","demersal"
"USWC-AK FLOUNDER, STARRY","Platichthys stellatus",,"USWC-AK","demersal"
"USWC-AK LINGCOD","Ophiodon elongatus",,"USWC-AK","demersal"
"USWC-AK MUSSEL, BLUE","Mytilus edulis",,"USWC-AK","reef"
"USWC-AK OYSTER, OLYMPIA","Ostrea lurida",,"USWC-AK","benthic"
"USWC-AK OYSTER, PACIFIC","Crassostrea gigas",,"USWC-AK","reef"
"USWC-AK ROCKFISH, BLACK","Sebastes melanops",,"USWC-AK","reef"
"USWC-AK ROCKFISH, BLUE","Sebastes mystinus",,"USWC-AK","reef"
"USWC-AK ROCKFISH, BOCACCIO","Sebastes paucispinis",,"USWC-AK","reef"
"USWC-AK ROCKFISH, CANARY","Sebastes pinniger",,"USWC-AK","demersal"
"USWC-AK ROCKFISH, CHINA","Sebastes nebulosus",,"USWC-AK","reef"
"USWC-AK ROCKFISH, COPPER","Sebastes caurinus",,"USWC-AK","demersal"
"USWC-AK ROCKFISH, DARKBLOTCHED","Sebastes crameri",,"USWC-AK","demersal"
"USWC-AK ROCKFISH, GREENSTRIPED","Sebastes elongatus",,"USWC-AK","demersal"
"USWC-AK ROCKFISH, REDBANDED","Sebastes babcocki",,"USWC-AK","demersal"
"USWC-AK ROCKFISH, REDSTRIPE","Sebastes proriger",,"USWC-AK","bathy-"
"USWC-AK ROCKFISH, SHARPCHIN","Sebastes zacentrus",,"USWC-AK","bathy-"
"USWC-AK ROCKFISH, SILVERGRAY","Sebastes brevispinis",,"USWC-AK","demersal"
"USWC-AK ROCKFISH, STARRY","Sebastes constellatus",,"USWC-AK","reef"
"USWC-AK ROCKFISH, VERMILION","Sebastes miniatus",,"USWC-AK","reef"
"USWC-AK ROCKFISH, WIDOW","Sebastes entomelas",,"USWC-AK","pelagic"
"USWC-AK ROCKFISH, YELLOWMOUTH","Sebastes reedi",,"USWC-AK","bathy-"
"USWC-AK ROCKFISH, YELLOWTAIL","Sebastes flavidus",,"USWC-AK","reef"
"USWC-AK SCALLOP, SEA","Placopecten magellanicus",,"USWC-AK","benthic"
"USWC-AK SHRIMP, OCEAN","Pandalus jordani",,"USWC-AK","benthic"
"USWC-AK SMELT, EULACHON","Thaleichthys pacificus",,"USWC-AK","pelagic"
"USWC-AK SOLE, ENGLISH","Parophrys vetulus",,"USWC-AK","demersal"
"USWC-AK SOLE, PETRALE","Eopsetta jordani",,"USWC-AK","demersal"
"USWC-AK SOLE, SAND","Psettichthys melanostictus",,"USWC-AK","demersal"
"USWC-AK SQUID, JUMBO","Dosidicus gigas",,"USWC-AK","pelagic"
"USWC-AK TOMCOD, PACIFIC","Microgadus proximus",,"USWC-AK","demersal"
"USWC-AK WHITEFISH, OCEAN","Caulolatilus princeps",,"USWC-AK","reef"
"USWC arrowtooth flounder","Atheresthes stomias","2007","USWC-48","demersal"
"USWC/BC Pacific hake","Merluccius productus","1982","USWC-48","pelagic"
"USWC blackgill rockfish","Sebastes melanostomus","2005","USWC-48","bathy-"
"USWC black rockfish (Oregon)","Sebastes melanops","2016","USWC-48","reef"
"USWC black rockfish (southern)","Sebastes melanops","2003","USWC-48","reef"
"USWC blue rockfish","Sebastes mystinus","2007","USWC-48","reef"
"USWC bocaccio (southern)","Sebastes paucispinis","1990","USWC-48","reef"
"USWC cabezon (nCal)","Scorpaenichthys marmoratus","2003","USWC-48","demersal"
"USWC cabezon (OR)","Scorpaenichthys marmoratus","2009","USWC-48","demersal"
"USWC cabezon (sCal)","Scorpaenichthys marmoratus","2003","USWC-48","demersal"
"USWC California scorpionfish (southern)","Scorpaena guttata","2005","USWC-48","demersal"
"USWC California sheephead","Semicossyphus pulcher","2004","USWC-48","reef"
"USWC California white seabass","Atractoscion nobilis","2016","USWC-48","demersal"
"USWC canary rockfish","Sebastes pinniger","1990","USWC-48","reef"
"USWC chilipepper (southern)","Sebastes goodei","1985","USWC-48","demersal"
"USWC cowcod","Sebastes levis","1999","USWC-48","bathy-"
"USWC darkblotched rockfish","Sebastes crameri","2000","USWC-48","demersal"
"USWC dover sole","Microstomus pacificus","1984","USWC-48","demersal"
"USWC English sole","Parophrys vetulus","1985","USWC-48","demersal"
"USWC gopher rockfish","Sebastes carnatus","2005","USWC-48","demersal"
"USWC greenspotted rockfish (northern)","Sebastes chlorostictus","2011","USWC-48","demersal"
"USWC greenspotted rockfish (southern)","Sebastes chlorostictus","2011","USWC-48","demersal"
"USWC greenstriped rockfish","Sebastes elongatus","2009","USWC-48","demersal"
"USWC kelp greenling (OR)","Hexagrammos decagrammus","2005","USWC-48","demersal"
"USWC lingcod (northern)","Ophiodon elongatus","1994","USWC-48","demersal"
"USWC lingcod (southern)","Ophiodon elongatus","1999","USWC-48","demersal"
"USWC longnose skate","Raja rhina","2007","USWC-48","bathy-"
"USWC market squid","Loligo opalescens","2001","USWC-48","pelagic"
"USWC Pacific cod","Gadus macrocephalus","no published document","USWC-48","demersal"
"USWC Pacific mackerel","Scomber japonicus","2004","USWC-48","pelagic"
"USWC Pacific ocean perch","Sebastes alutus","1972","USWC-48","bathy-"
"USWC Pacific sardine","Sardinops sagax","1996","USWC-48","pelagic"
"USWC petrale sole","Eopsetta jordani","1984","USWC-48","demersal"
"USWC sablefish","Anoplopoma fimbria","1984","USWC-48","bathy-"
"USWC shortbelly rockfish","Sebastes jordani","2007","USWC-48","demersal"
"USWC shortspine thornyhead","Sebastolobus alascanus","1990","USWC-48","bathy-"
"USWC spiny dogfish","Squalus acanthias","2011","USWC-48","benthopelagic"
"USWC splitnose rockfish","Sebastes diploproa","2009","USWC-48","bathy-"
"USWC starry flounder (northern)","Platichthys stellatus","2005","USWC-48","demersal"
"USWC starry flounder (southern)","Platichthys stellatus","2005","USWC-48","demersal"
"USWC widow rockfish","Sebastes entomelas","1983","USWC-48","pelagic"
"USWC yelloweye rockfish","Sebastes ruberrimus","2001","USWC-48","reef"
"USWC yellowtail rockfish (northern)","Sebastes flavidus","1984","USWC-48","reef"
"WA dungeness crab","Cancer magister","no published document","USWC-48","benthic"
"WA geoduck clam","Panopea generosa","1997","USWC-48","benthic"
"WA green sea urchin","Strongylocentrotus droebachiensis","no published document","USWC-48","benthic"
"WA pink shrimp","Pandalus jordani","no published document","USWC-48","benthic"
"WA red sea urchin","Strongylocentrotus franciscanus","1994","USWC-48","benthic"
"Western Gulf of Mexico blue crab","Callinectes sapidus","2013","USEC-SE","demersal"
"West Florida hogfish","Lachnolaimus maximus","2013","USEC-SE","reef"
"West Florida pompano","Trachinotus carolinus","2002","USEC-SE","benthopelagic"
"West Florida striped mullet","Mugil cephalus","2005","USEC-SE","benthopelagic"
